ACA.PA-shares,ACA.PA-total,AI.PA-shares,AI.PA-total,AIR.PA-shares,AIR.PA-total,BN.PA-shares,BN.PA-total,BNP.PA-shares,BNP.PA-total,CS.PA-shares,CS.PA-total,DG.PA-shares,DG.PA-total,DSY.PA-shares,DSY.PA-total,EL.PA-shares,EL.PA-total,KER.PA-shares,KER.PA-total,MC.PA-shares,MC.PA-total,OR.PA-shares,OR.PA-total,RI.PA-shares,RI.PA-total,RMS.PA-shares,RMS.PA-total,SAF.PA-shares,SAF.PA-total,SAN.PA-shares,SAN.PA-total,STLAM.MI-shares,STLAM.MI-total,STMPA.PA-shares,STMPA.PA-total,SU.PA-shares,SU.PA-total,TTE.PA-shares,TTE.PA-total,cashflow,host-timestamp,last-news,market-timestamp,nbr-news-displayed,news-mode,request 1,request 10,request 2,request 3,request 4,request 5,request 6,request 7,request 8,request 9,selected-company,selected-graph,selected-news
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808581.623166,"ST-Micro: prend +3,8% vers 43,3E ce 1er mars, +3,9% en hebdo",2024-03-03 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808583.290961,Pernod Ricard rejoint le WBCSD,2024-03-04 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808586.622164,"Schneider : surveiller le support des 205,5E",2024-03-05 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808589.234246,"Stellantis va investir 5,6 milliards d'euros en Amérique du Sud d'ici à 2030",2024-03-06 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808592.258083,EssilorLuxottica et Dolce&Gabbana renouvellent leur accord de licence pour 16 ans,2024-03-07 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808597.007724,Peugeot:le E-3008 a reçu le 'Trophée de l'Innovation à Bord',2024-03-08 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808600.000275,Peugeot:le E-3008 a reçu le 'Trophée de l'Innovation à Bord',2024-03-09 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808603.017591,Peugeot:le E-3008 a reçu le 'Trophée de l'Innovation à Bord',2024-03-10 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808605.998131,Vinci remporte un contrat ferroviaire de 700 millions d’euros en France,2024-03-11 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808608.986828,"Auto: ""Avec l'électrique, les Européens subissent une double peine"" (P. Gerfaux, Publicis Sapient)",2024-03-12 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"ST-Micro prend +3,8% ce 1er mars, s'adjugeant ainsi +3,9% en hebdo : tout s'est joué ce vendredi et le cours soulève la résistance  des 43,2E du 12 février: les prochains objectifs à la hausse se situent vers 45E (résistance oblique moyen terme) puis 46,8E, le zénith du 15 décembre 2023."
