host-timestamp,market-timestamp,selected-company,cashflow,form-action,chart-type,is_news_description_displayed,news_title,deleted-request,MC.PA-shares,OR.PA-shares,RMS.PA-shares,TTE.PA-shares,SAN.PA-shares,AIR.PA-shares,SU.PA-shares,AI.PA-shares,EL.PA-shares,BNP.PA-shares,KER.PA-shares,DG.PA-shares,CS.PA-shares,SAF.PA-shares,RI.PA-shares,DSY.PA-shares,STLAM.MI-shares,BN.PA-shares,STMPA.PA-shares,ACA.PA-shares,MC.PA-totals,OR.PA-totals,RMS.PA-totals,TTE.PA-totals,SAN.PA-totals,AIR.PA-totals,SU.PA-totals,AI.PA-totals,EL.PA-totals,BNP.PA-totals,KER.PA-totals,DG.PA-totals,CS.PA-totals,SAF.PA-totals,RI.PA-totals,DSY.PA-totals,STLAM.MI-totals,BN.PA-totals,STMPA.PA-totals,ACA.PA-totals,action-0,price-0,shares-0,action-1,price-1,shares-1,action-2,price-2,shares-2,action-3,price-3,shares-3,action-4,price-4,shares-4,action-5,price-5,shares-5,action-6,price-6,shares-6,action-7,price-7,shares-7,action-8,price-8,shares-8
1719571254.772715,2005-06-14T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571259.766992,2005-06-15T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571264.764488,2005-06-16T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571269.77292,2005-06-17T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571274.779463,2005-06-18T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571279.771657,2005-06-19T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571284.788457,2005-06-20T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571289.762244,2005-06-21T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571294.779521,2005-06-22T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571299.772755,2005-06-23T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571304.774367,2005-06-24T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571309.77656,2005-06-25T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571314.800343,2005-06-26T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571319.779614,2005-06-27T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571324.763573,2005-06-28T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571329.77291,2005-06-29T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571334.778396,2005-06-30T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571339.778579,2005-07-01T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571344.764448,2005-07-02T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571349.767143,2005-07-03T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571354.793311,2005-07-04T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
